"ï..Case.number","APN","Purchaser","Judgment","Non.judgment.Delinquency","Total.Delinquency","MV.Ascend","X.Del.MV","Improvement.Value","KIVA.PIN","Address.Number","Street","Street.Type","Combined.Full.Address","City","State","Longitude","Latitude","Land.Bank"
"K2016-02632","31840051600000000","Land Bank of Kansas City Missouri","$2,259.12 ","$497.79","$2,756.91",27751,"9.93%",24775,38123,"5608","HARDESTY","AVE","5608   HARDESTY AVE","Kansas City","Missouri",-94.52211501,39.02320542,"No"
"K2016-01321","28320090200000000","Land Bank of Kansas City Missouri","$2,994.56 ","$2,416.29","$5,410.85",28007,"19.32%",25277,10311,"3235","7TH","ST","3235  E 7TH ST","Kansas City","Missouri",-94.54233601,39.10390839,"No"
"K2016-01895","29710242600000000","Land Bank of Kansas City Missouri","$2,390.59 ","$872.57","$3,263.16",29516,"11.06%",26638,26834,"3028","OLIVE","ST","3028   OLIVE ST","Kansas City","Missouri",-94.55545783,39.07069805,"No"
"K2016-01661","28830032100000000","Land Bank of Kansas City Missouri","$3,806.49 ","$535.74","$4,342.23",29870,"14.54%",26375,22808,"4916","LINWOOD","BLVD","4916  E LINWOOD BLVD","Kansas City","Missouri",-94.52722819,39.06763136,"No"
"K2016-01103","13940061900000000","Land Bank of Kansas City Missouri","$3,570.67 ","$2,176.76","$5,747.43",29925,"19.21%",26716,41659,"212","ASKEW","AVE","212   ASKEW AVE","Kansas City","Missouri",-94.53908282,39.11173405,"No"
"K2015-01076","13840201300000000","Land Bank of Kansas City Missouri","$5,018.48 ","$8,722.92","$13,741.40",37738,"36.41%",33472,45007,"429","QUINCY","AVE","429   QUINCY AVE","Kansas City","Missouri",-94.52215596,39.10769565,"No"
"K2015-02554","30740110700000000","Land Bank of Kansas City Missouri","$3,393.65 ","$2,355.33","$5,748.98",39618,"14.51%",34210,147876,"5625","EUCLID","AVE","5625   EUCLID AVE","Kansas City","Missouri",-94.56195932,39.02421677,"No"
"K2016-02874","46930160500000000","Land Bank of Kansas City Missouri","$3,729.97 ","$858.55","$4,588.52",39711,"11.55%",34291,4788,"8031","COLLEGE","AVE","8031   COLLEGE AVE","Kansas City","Missouri",-94.54929238,38.98033277,"No"
"K2016-01244","28220070800000000","Land Bank of Kansas City Missouri","$3,952.01 ","$1,918.82","$5,870.83",45171,"13.00%",40767,8008,"4206","7TH","ST","4206  E 7TH ST","Kansas City","Missouri",-94.53235547,39.10412448,"No"
"K2016-02873","46930160300000000","Land Bank of Kansas City Missouri","$5,136.51 ","$979.70","$6,116.21",45316,"13.50%",39131,4781,"8003","COLLEGE","AVE","8003   COLLEGE AVE","Kansas City","Missouri",-94.54926541,38.98102452,"No"
"K2016-01132","14940211400000000","Land Bank of Kansas City Missouri","$6,233.76 ","$1,421.21","$7,654.97",79235,"9.66%",68420,46998,"8600","THOMPSON","AVE","8600   THOMPSON AVE","Kansas City","Missouri",-94.48198539,39.10583011,"No"
"Total Amount","","","$292,508.55 ","$133,794.88","$426,303.43",NA,"",NA,161969,"8326","MARSTON","AVE","8326  N MARSTON AVE","Kansas City","Missouri",-94.60758475,39.24499714,"No"
"Total Amount","","","$292,508.55 ","$133,794.88","$426,303.43",NA,"",NA,162019,"8233","MARSTON","AVE","8233  N MARSTON AVE","Kansas City","Missouri",-94.60838369,39.24423455,"No"
