Parcel Number,APN,Date Sold
K2011-02127,29-740-17-08-00-0-00-000,8/1/2012
K2011-02130,29-740-19-05-00-0-00-000,8/1/2012
K2011-02134,29-740-22-24-00-0-00-000,8/1/2012
K2011-02135,29-740-22-29-00-0-00-000,8/1/2012
K2011-02138,29-740-24-20-00-0-00-000,8/1/2012
K2011-02141,29-740-27-22-00-0-00-000,8/1/2012
K2011-02144,29-740-28-26-00-0-00-000,8/1/2012
K2011-02146,29-740-30-14-00-0-00-000,8/1/2012
K2011-02147,29-740-31-14-00-0-00-000,8/1/2012
K2011-02149,29-740-31-26-00-0-00-000,8/1/2012
K2011-02219,30-110-31-12-00-0-00-000,8/1/2012
K2011-02245,30-130-02-05-00-0-00-000,8/1/2012
K2011-02268,30-130-16-13-00-0-00-000,8/1/2012
K2011-02273,30-130-16-23-00-0-00-000,8/1/2012
K2011-02274,30-130-16-24-00-0-00-000,8/1/2012
K2011-02290,30-130-29-08-00-0-00-000,8/1/2012
K2011-02291,30-130-29-25-00-0-00-000,8/1/2012
K2011-02292,30-130-30-08-00-0-00-000,8/1/2012
K2011-02303,30-140-13-07-00-0-00-000,8/1/2012
K2011-02308,30-140-16-16-00-0-00-000,8/1/2012
K2011-02316,30-140-22-32-00-0-00-000,8/1/2012
K2011-02318,30-140-24-09-00-0-00-000,8/1/2012
K2011-02376,30-240-26-36-00-0-01-001,8/1/2012
K2011-02377,30-240-26-36-00-0-01-002,8/1/2012
K2011-02380,30-240-26-36-00-0-03-001,8/1/2012
K2011-02381,30-240-26-36-00-0-03-002,8/1/2012
K2011-02382,30-240-26-36-00-0-04-001,8/1/2012
K2011-02412,30-610-01-16-00-0-00-000,8/1/2012
K2011-02414,30-610-05-08-00-0-00-000,8/1/2012
K2011-02420,30-610-06-22-00-0-00-000,8/1/2012
K2011-02454,30-620-16-09-00-0-00-000,8/1/2012
K2011-02525,30-710-23-19-00-0-00-000,8/1/2012
K2011-02532,30-710-26-21-00-0-00-000,8/1/2012
K2011-02563,30-740-03-34-00-0-00-000,8/1/2012
K2011-02572,30-740-10-27-00-0-00-000,8/1/2012
K2011-02579,30-740-15-24-00-0-00-000,8/1/2012
K2011-02580,30-740-16-14-00-0-00-000,8/1/2012
K2011-02582,30-740-18-06-00-0-00-000,8/1/2012
K2011-02589,30-740-23-02-00-0-00-000,8/1/2012
K2011-02591,30-740-23-12-00-0-00-000,8/1/2012
K2011-02595,30-740-27-17-00-0-00-000,8/1/2012
K2011-02597,30-740-29-26-00-0-00-000,8/1/2012
K2011-02600,30-740-30-08-00-0-00-000,8/1/2012
K2011-02603,30-740-32-30-00-0-00-000,8/1/2012
K2011-02695,31-320-06-10-00-0-00-000,8/1/2012
K2011-02709,31-320-22-28-00-0-00-000,8/1/2012
K2011-02741,31-330-09-07-00-0-00-000,8/1/2012
K2011-02771,31-330-27-29-00-0-00-000,8/1/2012
K2011-02774,31-330-28-33-00-0-00-000,8/1/2012
K2011-02790,31-340-08-07-00-0-00-000,8/1/2012
K2011-02871,31-420-24-23-00-0-00-000,8/1/2012
K2011-02872,31-420-24-24-00-0-00-000,8/1/2012
K2011-02889,31-430-22-06-00-0-00-000,8/1/2012
K2011-02926,31-740-04-22-00-0-00-000,8/1/2012
K2011-02958,31-920-01-11-00-0-00-000,8/1/2012
K2011-02996,31-940-06-03-00-0-00-000,8/1/2012
K2011-03001,31-940-09-05-00-0-00-000,8/1/2012
K2011-03062,46-140-06-07-00-0-00-000,8/1/2012
K2011-03065,46-220-03-11-00-0-00-000,8/1/2012
K2011-03067,46-220-05-04-00-0-00-000,8/1/2012
K2011-03114,46-330-12-03-00-0-00-000,8/1/2012
K2011-03126,46-410-01-19-01-0-00-000,8/1/2012
K2011-03179,46-430-02-15-00-0-00-000,8/1/2012
K2011-03194,46-430-25-09-00-0-00-000,8/1/2012
K2011-03224,46-930-04-01-00-0-00-000,8/1/2012
K2011-03240,47-110-06-17-00-0-00-000,8/1/2012
K2011-03241,47-110-06-42-00-0-00-000,8/1/2012
K2011-03245,47-110-13-08-00-0-00-000,8/1/2012
K2011-03249,47-120-12-21-00-0-00-000,8/1/2012
K2011-03273,47-520-17-28-00-0-00-000,8/1/2012
K2011-03282,47-610-06-03-00-0-00-000,8/1/2012
K2011-03294,47-630-03-08-00-0-00-000,8/1/2012
K2011-03311,47-640-04-03-00-0-00-000,8/1/2012
K2011-03331,47-710-14-21-00-0-00-000,8/1/2012
K2011-03364,47-730-22-04-00-0-00-000,8/1/2012
K2011-03388,47-730-32-10-00-0-00-000,8/1/2012
K2011-03390,47-730-34-18-00-0-00-000,8/1/2012
K2011-03394,47-740-08-06-00-0-00-000,8/1/2012
K2011-03399,47-740-13-09-00-0-00-000,8/1/2012
K2011-03401,47-740-16-10-00-0-00-000,8/1/2012
K2011-03402,47-740-16-12-00-0-00-000,8/1/2012
K2011-03403,47-740-16-21-00-0-00-000,8/1/2012
K2011-03404,47-740-16-25-00-0-00-000,8/1/2012
K2011-03406,47-740-20-17-00-0-00-000,8/1/2012
K2011-03410,47-740-27-42-00-0-00-000,8/1/2012
K2011-03430,48-120-09-32-00-0-00-000,8/1/2012
K2011-03431,48-120-12-12-00-0-00-000,8/1/2012
K2011-03522,50-920-01-16-00-0-00-000,8/1/2012
K2011-03533,63-310-04-63-00-0-00-000,8/1/2012
K2011-03677,64-830-31-04-00-0-00-000,8/1/2012
K2011-03708,67-510-04-06-02-0-00-000,8/1/2012
K2007-11900/K2010-11921/K2011-03139,46-410-19-03-00-0-00-000,8/1/2012
K2007-11901/K2010-11924/K2011-03395,47-740-10-39-00-0-00-000,8/1/2012
K2007-11902/K2010-11922/K2011-03140,46-410-19-04-00-0-00-000,8/1/2012
K2007-11928/K2011-01574,28-520-28-35-00-0-00-000,8/1/2012
K2008-02206/K2011-02955,31-910-18-04-00-0-00-000,8/1/2012
K2008-11904/K2011-03266,47-140-05-07-00-0-00-000,8/1/2012
K2009-01323,28-430-26-04-00-0-00-000,8/1/2012
K2009-11906/K2011-03141,46-410-19-05-02-0-00-000,8/1/2012
K2009-11908/K2011-03195,46-430-25-22-00-0-00-000,8/1/2012
K2009-11910/K2011-02158,29-840-12-27-00-0-00-000,8/1/2012
K2010-01471,28-440-35-04-00-0-00-000,8/1/2012
K2010-01479,28-510-10-08-00-0-00-000,8/1/2012
K2010-01732,28-920-03-15-00-0-00-000,8/1/2012
K2010-01765,28-920-24-07-00-0-00-000,8/1/2012
K2010-02141,30-120-30-10-00-0-00-000,8/1/2012
K2010-02204,30-140-19-14-00-0-00-000,8/1/2012
K2010-02303,30-620-11-38-00-0-00-000,8/1/2012
K2010-02323,30-640-15-06-00-0-00-000,8/1/2012
K2010-11914/K2011-01893,28-940-18-05-00-0-00-000,8/1/2012
K2010-11917/K2011-02216,30-110-30-14-00-0-00-000,8/1/2012
K2010-11918/K2011-02543,30-730-01-05-00-0-00-000,8/1/2012
K2010-11929/K2011-01589,28-520-38-22-00-0-00-000,8/1/2012
