Parcel Number,APN,Date Sold
K2014-01181,28-110-11-88-00-0-00-000,8/1/2015
K2014-01239,28-140-12-15-00-0-00-000,8/1/2015
K2014-01289,28-230-11-20-00-0-00-000,8/1/2015
K2014-01417,28-430-27-09-00-0-00-000,8/1/2015
K2014-01418,28-430-27-33-00-0-00-000,8/1/2015
K2014-01421,28-430-30-38-00-0-00-000,8/1/2015
K2014-01427,28-430-38-03-00-0-00-000,8/1/2015
K2014-01541,28-530-17-51-00-0-00-000,8/1/2015
K2014-01543,28-530-18-10-00-0-00-000,8/1/2015
K2014-01627,28-810-01-17-00-0-00-000,8/1/2015
K2014-01789,28-930-03-23-00-0-00-000,8/1/2015
K2014-01799,28-930-10-22-00-0-00-000,8/1/2015
K2014-01900,29-610-30-01-00-0-00-000,8/1/2015
K2014-01971,29-710-14-14-00-0-00-000,8/1/2015
K2014-02043,29-740-12-15-00-0-00-000,8/1/2015
K2014-02044,29-740-12-16-00-0-00-000,8/1/2015
K2014-02160,30-130-04-41-00-0-00-000,8/1/2015
K2014-02185/K83-4421,30-130-22-29-00-0-00-000,8/1/2015
K2014-02270,30-610-13-23-00-0-00-000,8/1/2015
K2014-02339,30-640-12-26-00-0-00-000,8/1/2015
K2014-02418,30-740-01-10-00-0-00-000,8/1/2015
K2014-02422,30-740-02-20-00-0-00-000,8/1/2015
K2014-02423,30-740-02-40-00-0-00-000,8/1/2015
K2014-02424/K82-1454,30-740-02-41-00-0-00-000,8/1/2015
K2014-02425/K81-1193,30-740-02-42-00-0-00-000,8/1/2015
K2014-02426,30-740-04-28-00-0-00-000,8/1/2015
K2014-02440,30-740-14-35-00-0-00-000,8/1/2015
K2014-02460,30-740-28-13-00-0-00-000,8/1/2015
K2014-02461,30-740-30-02-00-0-00-000,8/1/2015
K2014-02541,31-310-12-07-00-0-00-000,8/1/2015
K2014-02622,31-320-34-02-00-0-00-000,8/1/2015
K2014-02692,31-340-13-37-00-0-00-000,8/1/2015
K2014-02697,31-340-21-10-00-0-00-000,8/1/2015
K2014-02714,31-410-09-18-00-0-00-000,8/1/2015
K2014-02827,31-810-15-08-00-0-00-000,8/1/2015
K2014-03061,46-410-10-13-00-0-00-000,8/1/2015
K2014-03164,47-110-06-61-00-0-00-000,8/1/2015
K2014-03178,47-130-06-33-00-0-00-000,8/1/2015
K2014-03179/K82-211,47-130-07-02-00-0-00-000,8/1/2015
K2014-03210,47-610-06-13-00-0-00-000,8/1/2015
K2014-03276,47-730-17-11-00-0-00-000,8/1/2015
K2014-03287,47-740-11-31-00-0-00-000,8/1/2015
K2014-03300,47-740-25-09-00-0-00-000,8/1/2015
K2014-03301,47-740-26-10-00-0-00-000,8/1/2015
K2014-03390,49-740-01-18-00-0-00-000,8/1/2015
K2003-01227/K2006-02017/K2009-12201/K2010-02459/K2013-02550,31-220-08-05-00-0-00-000,8/1/2015
K2009-14022/K2012-14023/K2014-02797,31-520-22-13-00-0-00-000,8/1/2015
K2010-02201,30-140-16-19-00-0-00-000,8/1/2015
K2010-14020/K2013-14021/K2014-02796 ,31-520-21-38-00-0-00-000,8/1/2015
K2010-14024/K2013-14025/K2014-02798  ,31-520-22-18-00-0-00-000,8/1/2015
K2011-01884/K2014-01825,28-930-31-44-00-0-00-000,8/1/2015
K2011-02449/K2014-02308,30-620-11-15-00-0-00-000,8/1/2015
K2011-02544/K2014-02406,30-730-01-20-00-0-00-000,8/1/2015
K2011-02581/K2014-02441,30-740-16-23-00-0-00-000,8/1/2015
K2012-03059,31-940-15-18-00-0-00-000,8/1/2015
K2013-02110,29-740-30-25-00-0-00-000,8/1/2015
